title,release_date,libsyn_page,download_link
"#57: August 12-16, 2015","Jun 25, 2017",https://knowledgefight.libsyn.com/knowledge-fight-aug-12-16-2015,https://traffic.libsyn.com/secure/knowledgefight/Inv6.mp3
"#58: June 23, 2017","Jun 28, 2017",https://knowledgefight.libsyn.com/knowledge-fight-june-23-2017,https://traffic.libsyn.com/secure/knowledgefight/6-23.mp3
"#59: August 17-18, 2015","Jun 30, 2017",https://knowledgefight.libsyn.com/knowledge-fight-august-17-18,https://traffic.libsyn.com/secure/knowledgefight/Inv7.mp3
#60: Mars Colonies,"Jul 3, 2017",https://knowledgefight.libsyn.com/knowledge-fight-mars-colonies,https://traffic.libsyn.com/secure/knowledgefight/Camelot.mp3
"#61: July 5, 2017","Jul 6, 2017",https://knowledgefight.libsyn.com/knowledge-fight-july-5-2017,https://traffic.libsyn.com/secure/knowledgefight/7-5-17.mp3
"#62: August 19-26, 2015","Jul 10, 2017",https://knowledgefight.libsyn.com/knowledge-fight-aug-19-26-2015,https://traffic.libsyn.com/secure/knowledgefight/Inv8.mp3
TWTWYTT Special,"Jul 12, 2017",https://knowledgefight.libsyn.com/knowledge-fight-twtwytt-special,https://traffic.libsyn.com/secure/knowledgefight/SalemWitchTrials.mp3
"#63: July 12, 2017","Jul 13, 2017",https://knowledgefight.libsyn.com/knowledge-fight-july-12-2017,https://traffic.libsyn.com/secure/knowledgefight/7-12-17.mp3
"#64: Aug 27-Sep 1, 2015","Jul 17, 2017",https://knowledgefight.libsyn.com/knowledge-fight-aug-27-sep-1-2015,https://traffic.libsyn.com/secure/knowledgefight/Inv9.mp3
"#65: September 2-4, 2015","Jul 19, 2017",https://knowledgefight.libsyn.com/knowledge-fight-sep-2-4-2015,https://traffic.libsyn.com/secure/knowledgefight/Inv10.mp3
"#66: September 6-17, 2015","Jul 25, 2017",https://knowledgefight.libsyn.com/knowledge-fight-sep-6-17-2015,https://traffic.libsyn.com/secure/knowledgefight/inv11.mp3
