title,release_date,libsyn_page,download_link
"#148: June 1-3, 2009","Apr 10, 2018",https://knowledgefight.libsyn.com/knowledge-fight-june-1-3-2009,https://traffic.libsyn.com/secure/knowledgefight/June1-3.mp3
#149: The Press Conference,"Apr 13, 2018",https://knowledgefight.libsyn.com/knowledge-fight-the-press-conference,https://traffic.libsyn.com/secure/knowledgefight/4-10-18.mp3
#150: Alex Jones Attempts A Face Turn,"Apr 14, 2018",https://knowledgefight.libsyn.com/knowledge-fight-alex-jones-attempts-a-face-turn,https://traffic.libsyn.com/secure/knowledgefight/4-13-18c.mp3
"#151: April 16, 2018","Apr 17, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-16-2018,https://traffic.libsyn.com/secure/knowledgefight/4-16-18.mp3
"#152: April 18, 2018","Apr 20, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-18-2018-0,https://traffic.libsyn.com/secure/knowledgefight/4-18cut.mp3
#153: More Mark Richards Fun,"Apr 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-more-mark-richards-fun,https://traffic.libsyn.com/secure/knowledgefight/MRichards3.mp3
"#154: April 23, 2018","Apr 24, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-23-2018,https://traffic.libsyn.com/secure/knowledgefight/4-23-18.mp3
"#155: January 7-9, 2009","Apr 27, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-7-9-2009,https://traffic.libsyn.com/secure/knowledgefight/Jan792009.mp3
#156: Gaseous Beings and Antiques,"May 1, 2018",https://knowledgefight.libsyn.com/knowledge-fight-gaseous-beings-and-antiques,https://traffic.libsyn.com/secure/knowledgefight/MarkRichards8.mp3
#157: WWE's Kane (Ft. Marty DeRosa),"May 4, 2018",https://knowledgefight.libsyn.com/knowledge-fight-wwes-kane-ft-marty-derosa,https://traffic.libsyn.com/secure/knowledgefight/DemonKaneEp.mp3
"#158: January 21, 2009","May 7, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-21-2009,https://traffic.libsyn.com/secure/knowledgefight/1-21-09.mp3
#159: Mantids and Chakra Attacks,"May 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-mantids-and-chakra-attacks,https://traffic.libsyn.com/secure/knowledgefight/SimParks.mp3
"#160: January 22-25, 2009","May 14, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-22-25-2009,https://traffic.libsyn.com/secure/knowledgefight/Jan22-25-2009.mp3
"#161: May 14, 2018","May 16, 2018",https://knowledgefight.libsyn.com/knowledge-fight-may-14-2018,https://traffic.libsyn.com/secure/knowledgefight/5-14-18.mp3
"#162: May 19, 2018","May 21, 2018",https://knowledgefight.libsyn.com/knowledge-fight-may-19-2018,https://traffic.libsyn.com/secure/knowledgefight/5-19-18.mp3
"#163: January 27-29, 2009","May 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jan-27-29-2009,https://traffic.libsyn.com/secure/knowledgefight/Jan27-29-2009.mp3
"#164: May 25, 2018","May 28, 2018",https://knowledgefight.libsyn.com/knowledge-fight-may-25-2018,https://traffic.libsyn.com/secure/knowledgefight/05-25-18.mp3
"#165: Rotondo, Round 2","May 30, 2018",https://knowledgefight.libsyn.com/knowledge-fight-rotondo-round-2,https://traffic.libsyn.com/secure/knowledgefight/RotondoRd2.mp3
"#166: February 2-3, 2009","Jun 4, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-2-3-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb2-3-2009.mp3
"#167: February 4-5, 2009","Jun 6, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-4-5-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb4-5-2009.mp3
#168: Alex Vs. Bill Ayers,"Jun 8, 2018",https://knowledgefight.libsyn.com/knowledge-fight-bill-ayers,https://traffic.libsyn.com/secure/knowledgefight/BillAyers.mp3
"#169: November 30, 2014","Jun 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-nov-30-2014,https://traffic.libsyn.com/secure/knowledgefight/11-30-14.mp3
#170: Live In Austin,"Jun 18, 2018",https://knowledgefight.libsyn.com/knowledge-fight-live-in-austin,https://traffic.libsyn.com/secure/knowledgefight/LiveInAustin.mp3
#171: Loosh and Let Live,"Jun 20, 2018",https://knowledgefight.libsyn.com/knowledge-fight-loosh-and-let-live,https://traffic.libsyn.com/secure/knowledgefight/SteveKelley.mp3
"#172: June 11, 2013","Jun 22, 2018",https://knowledgefight.libsyn.com/knowledge-fight-june-11-2013,https://traffic.libsyn.com/secure/knowledgefight/6-11-13.mp3
"#173: February 6-10, 2009","Jun 25, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-6-10-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb610.mp3
"#174: February 11, 2009","Jun 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-11-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb11-2009.mp3
#175: Giants And Bonus Potatoes,"Jun 27, 2018",https://knowledgefight.libsyn.com/knowledge-fight-giants-and-bonus-potatoes,https://traffic.libsyn.com/secure/knowledgefight/JimQuayle.mp3
"#176: June 28, 2018","Jul 2, 2018",https://knowledgefight.libsyn.com/knowledge-fight-june-28-2018,https://traffic.libsyn.com/secure/knowledgefight/6-28-18.mp3
#177: Sweary Kerry and the Racist Alien,"Jul 5, 2018",https://knowledgefight.libsyn.com/knowledge-fight-sweary-kerry-and-the-racist-alien,https://traffic.libsyn.com/secure/knowledgefight/EddieP.mp3
#178: Rowdy Roddy Piper w/ Marty DeRosa,"Jul 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-rowdy-roddy-piper-w-marty-derosa,https://traffic.libsyn.com/secure/knowledgefight/RoddyPiper.mp3
"#179: July 10, 2018","Jul 11, 2018",https://knowledgefight.libsyn.com/knowledge-fight-july-10-2018,https://traffic.libsyn.com/secure/knowledgefight/7-10-18.mp3
#180: Heresy and God Kings,"Jul 13, 2018",https://knowledgefight.libsyn.com/knowledge-fight-heresy-and-god-kings,https://traffic.libsyn.com/secure/knowledgefight/PaulaWhite.mp3
"#181: August 16, 2016","Jul 16, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-16-2016,https://traffic.libsyn.com/secure/knowledgefight/8-16-16.mp3
#182: Pay-To-Play Satan Fears,"Jul 18, 2018",https://knowledgefight.libsyn.com/knowledge-fight-pay-to-play-satan-fears,https://traffic.libsyn.com/secure/knowledgefight/IrvinBaxter.mp3
InfoWars Roulette #2,"Jul 20, 2018",https://knowledgefight.libsyn.com/knowledge-fight-infowars-roulette-2,https://traffic.libsyn.com/secure/knowledgefight/Roulette.mp3
"#183: February 12-16, 2009","Jul 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-february-12-16-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb13-16-09.mp3
#184: Godly Particles and Illiteracy,"Jul 25, 2018",https://knowledgefight.libsyn.com/knowledge-fight-godly-particles-and-illiteracy,https://traffic.libsyn.com/secure/knowledgefight/BakkerEdit.mp3
"#185: July 27, 2018","Jul 28, 2018",https://knowledgefight.libsyn.com/knowledge-fight-july-27-2018,https://traffic.libsyn.com/secure/knowledgefight/7-27-18.mp3
"#186: February 17-18, 2009","Jul 30, 2018",https://knowledgefight.libsyn.com/knowledge-fight-february-17-18-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb17-18.mp3
#187: Magic Cheesecloth and Secret Pleiadians,"Aug 1, 2018",https://knowledgefight.libsyn.com/knowledge-fight-magic-cheesecloth-and-secret-pleiadians,https://traffic.libsyn.com/secure/knowledgefight/HelenDuncan.mp3
"#188: August 1, 2018","Aug 3, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-1-2018,https://traffic.libsyn.com/secure/knowledgefight/8-1-18.mp3
"#189: February 19-20, 2009","Aug 6, 2018",https://knowledgefight.libsyn.com/knowledge-fight-february-19-20-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb19-20.mp3
"#190: August 6, 2018","Aug 8, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-6-2018,https://traffic.libsyn.com/secure/knowledgefight/8-6-18.mp3
#191: Blood Moons and Our First Call-In,"Aug 10, 2018",https://knowledgefight.libsyn.com/knowledge-fight-blood-moons-and-our-first-call-in,https://traffic.libsyn.com/secure/knowledgefight/MarkBiltz.mp3
"#192: August 10, 2018","Aug 13, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-10-2018,https://traffic.libsyn.com/secure/knowledgefight/8-10-18.mp3
#193: Big Skeletons and Pencil Ink,"Aug 15, 2018",https://knowledgefight.libsyn.com/knowledge-fight-big-skeletons-and-pencil-ink,https://traffic.libsyn.com/secure/knowledgefight/MarkRichardsBack.mp3
"#194: February 22-24, 2009","Aug 17, 2018",https://knowledgefight.libsyn.com/knowledge-fight-february-22-24-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb22-24-2009.mp3
"#195: August 17, 2018","Aug 20, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-17-2018,https://traffic.libsyn.com/secure/knowledgefight/8-17-18.mp3
"#196: August 21, 2018","Aug 22, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-21-2018,https://traffic.libsyn.com/secure/knowledgefight/8-21-18.mp3
#197: Jared Holt from the Sh!tpost Podcast,"Aug 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-jared-holt-from-the-shtpost-podcast,https://traffic.libsyn.com/secure/knowledgefight/CrossoverPod.mp3
"#198: July 22, 2011","Aug 27, 2018",https://knowledgefight.libsyn.com/knowledge-fight-july-22-2011,https://traffic.libsyn.com/secure/knowledgefight/7-22-11.mp3
"#199: August 29, 2018","Aug 31, 2018",https://knowledgefight.libsyn.com/knowledge-fight-august-29-2018,https://traffic.libsyn.com/secure/knowledgefight/8-29-18.mp3
"#200: Feb. 25-March 1, 2009","Sep 3, 2018",https://knowledgefight.libsyn.com/knowledge-fight-feb-25-march-1-2009,https://traffic.libsyn.com/secure/knowledgefight/Feb25-Mar1-2009.mp3
#201: A New Messiah and The Plunger Toss,"Sep 5, 2018",https://knowledgefight.libsyn.com/knowledge-fight-a-new-messiah-and-the-plunger-toss,https://traffic.libsyn.com/secure/knowledgefight/RonaldFar.mp3
"#202: September 4-6, 2018","Sep 7, 2018",https://knowledgefight.libsyn.com/knowledge-fight-september-4-6-2018,https://traffic.libsyn.com/secure/knowledgefight/9-6-18.mp3
"#203: March 2-4, 2009","Sep 10, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-2-4-2009,https://traffic.libsyn.com/secure/knowledgefight/March2-4-2009.mp3
#204: Sweary Kerry's Larry,"Sep 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-sweary-kerrys-larry,https://traffic.libsyn.com/secure/knowledgefight/EddiePage2.mp3
"#205: September 13, 2018","Sep 14, 2018",https://knowledgefight.libsyn.com/knowledge-fight-september-13-2018,https://traffic.libsyn.com/secure/knowledgefight/9-13-18.mp3
"#206: March 4-5, 2009","Sep 17, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-4-5-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar4-5-2009.mp3
#207: Bus Station Photography and The Magic of Zoom,"Sep 19, 2018",https://knowledgefight.libsyn.com/knowledge-fight-bus-station-photography-and-the-magic-of-zoom,https://traffic.libsyn.com/secure/knowledgefight/BruceAll.mp3
"#208: March 6-8, 2009","Sep 21, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-6-8-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar6-8-09.mp3
#209: Drunk Hotel Interview,"Sep 24, 2018",https://knowledgefight.libsyn.com/knowledge-fight-drunk-hotel-interview,https://traffic.libsyn.com/secure/knowledgefight/DrunkHotelInterview.mp3
"#210: March 9, 2009","Sep 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-9-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar9-2009.mp3
"#211: March 10, 2009","Sep 28, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-10-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar10-09.mp3
#212: Matrix Schemes and Billions In Liens,"Oct 3, 2018",https://knowledgefight.libsyn.com/knowledge-fight-matrix-schemes-and-billions-in-liens,https://traffic.libsyn.com/secure/knowledgefight/SophiaStew.mp3
"#213: October 2, 2018","Oct 4, 2018",https://knowledgefight.libsyn.com/knowledge-fight-october-2-2018,https://traffic.libsyn.com/secure/knowledgefight/10-2-18.mp3
#214: Cruel Parallels,"Oct 10, 2018",https://knowledgefight.libsyn.com/knowledge-fight-cruel-parallels,https://traffic.libsyn.com/secure/knowledgefight/KavNaw.mp3
"#215: March 11-12, 2009","Oct 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-11-12-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar11-12.mp3
"#216: November 11, 2010","Oct 15, 2018",https://knowledgefight.libsyn.com/knowledge-fight-november-11-2010,https://traffic.libsyn.com/secure/knowledgefight/Nov11-2009.mp3
#217: Space Liars and Dragon Moths,"Oct 17, 2018",https://knowledgefight.libsyn.com/knowledge-fight-space-liars-and-dragon-moths,https://traffic.libsyn.com/secure/knowledgefight/RichardsNum9.mp3
"#218: October 17, 2018","Oct 19, 2018",https://knowledgefight.libsyn.com/knowledge-fight-october-17-2018,https://traffic.libsyn.com/secure/knowledgefight/10-17-18.mp3
"#219: March 13, 2009","Oct 22, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-13-2009,https://traffic.libsyn.com/secure/knowledgefight/3-13-2009.mp3
"#220: October 23, 2018","Oct 24, 2018",https://knowledgefight.libsyn.com/knowledge-fight-october-23-2018,https://traffic.libsyn.com/secure/knowledgefight/10-23-18.mp3
"#221: October 24, 2018","Oct 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-october-24-2018,https://traffic.libsyn.com/secure/knowledgefight/10-24-18.mp3
"#222: March 15-19, 2009","Oct 29, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-15-19-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar15-19.mp3
#223: A Progressive Space Diplomat,"Oct 31, 2018",https://knowledgefight.libsyn.com/knowledge-fight-a-progressive-space-diplomat,https://traffic.libsyn.com/secure/knowledgefight/Captaye.mp3
"#224: March 20, 2009","Nov 2, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-20-2009,https://traffic.libsyn.com/secure/knowledgefight/Mar20-2009.mp3
"#225: November 2, 2018","Nov 5, 2018",https://knowledgefight.libsyn.com/knowledge-fight-november-2-2018,https://traffic.libsyn.com/secure/knowledgefight/11-2-2018.mp3
"#226: November 7, 2018","Nov 8, 2018",https://knowledgefight.libsyn.com/knowledge-fight-november-7-2018,https://traffic.libsyn.com/secure/knowledgefight/Nov7-2018.mp3
"#227: March 23, 2009","Nov 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-23-2009,https://traffic.libsyn.com/secure/knowledgefight/March23-2009.mp3
#228: Old Alex Clips,"Nov 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-old-alex-clips,https://traffic.libsyn.com/secure/knowledgefight/OldClips.mp3
#229: Mars Germans and Moon Leases,"Nov 14, 2018",https://knowledgefight.libsyn.com/knowledge-fight-mars-germans-and-moon-leases,https://traffic.libsyn.com/secure/knowledgefight/SuperSoldiersEp.mp3
"#230A: Obama Deception, Part 1","Nov 19, 2018",https://knowledgefight.libsyn.com/knowledge-fight-obama-deception-part-1,https://traffic.libsyn.com/secure/knowledgefight/Ep1Cut.mp3
"#230B: Obama Deception, Part 2","Nov 20, 2018",https://knowledgefight.libsyn.com/knowledge-fight-obama-deception-part-2,https://traffic.libsyn.com/secure/knowledgefight/Ep2Cut.mp3
"#230C: Obama Deception, Part 3","Nov 21, 2018",https://knowledgefight.libsyn.com/knowledge-fight-obama-deception-part-3,https://traffic.libsyn.com/secure/knowledgefight/Ep3Cut.mp3
"#230D: Obama Deception, Part 4","Nov 22, 2018",https://knowledgefight.libsyn.com/knowledge-fight-obama-deception-part-4,https://traffic.libsyn.com/secure/knowledgefight/Ep4Cut.mp3
"#230E: Obama Deception, Part 5","Nov 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-obama-deception-part-5,https://traffic.libsyn.com/secure/knowledgefight/Ep5Cuts.mp3
"#231: March 24, 2009","Nov 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-24-2009,https://traffic.libsyn.com/secure/knowledgefight/3-24-09.mp3
#232: Reverend Manning,"Nov 28, 2018",https://knowledgefight.libsyn.com/knowledge-fight-reverend-manning,https://traffic.libsyn.com/secure/knowledgefight/JDManning.mp3
"#233: November 28, 2018","Nov 30, 2018",https://knowledgefight.libsyn.com/knowledge-fight-november-28-2018,https://traffic.libsyn.com/secure/knowledgefight/11-28-18.mp3
"#234: March 26, 2009","Dec 3, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-26-2009,https://traffic.libsyn.com/secure/knowledgefight/3-26-2009.mp3
"#236: December 4-5, 2018","Dec 7, 2018",https://knowledgefight.libsyn.com/knowledge-fight-december-4-5-2018,https://traffic.libsyn.com/secure/knowledgefight/12-5-18.mp3
"#237: March 27, 2009","Dec 10, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-27-2009,https://traffic.libsyn.com/secure/knowledgefight/3-27-09.mp3
#238: Coach Dave,"Dec 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-coach-dave,https://traffic.libsyn.com/secure/knowledgefight/CoachDave.mp3
"#239: December 12-13, 2018","Dec 14, 2018",https://knowledgefight.libsyn.com/knowledge-fight-december-12-13-2018,https://traffic.libsyn.com/secure/knowledgefight/Dec12-13-2018.mp3
"#240: March 30-31, 2009","Dec 17, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-30-31-2009,https://traffic.libsyn.com/secure/knowledgefight/3-30-31-2009.mp3
#241: Larry Gets Coached,"Dec 19, 2018",https://knowledgefight.libsyn.com/knowledge-fight-larry-gets-coached,https://traffic.libsyn.com/secure/knowledgefight/LarryGetsCoached.mp3
"#242: December 18-19, 2018","Dec 21, 2018",https://knowledgefight.libsyn.com/knowledge-fight-december-18-19-2018,https://traffic.libsyn.com/secure/knowledgefight/Dec18-19-2018.mp3
"#243: April 1-2, 2009","Dec 24, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-1-2-2009,https://traffic.libsyn.com/secure/knowledgefight/April1-2-2009.mp3
"#244: October 5, 2014","Dec 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-october-5-2014,https://traffic.libsyn.com/secure/knowledgefight/10-5-14.mp3
"#245: December 24, 2018","Dec 28, 2018",https://knowledgefight.libsyn.com/knowledge-fight-december-24-2018,https://traffic.libsyn.com/secure/knowledgefight/12-24-18.mp3
"#246: April 5-6, 2009","Dec 31, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-5-6-2009,https://traffic.libsyn.com/secure/knowledgefight/April-5-6-2009.mp3
#247: Lionel,"Jan 2, 2019",https://knowledgefight.libsyn.com/knowledge-fight-lionel,https://traffic.libsyn.com/secure/knowledgefight/LionelNtion.mp3
"#248: January 2, 2019","Jan 4, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-2-2019,https://traffic.libsyn.com/secure/knowledgefight/1-02-19.mp3
#249: Predicting 9/11,"Jan 7, 2019",https://knowledgefight.libsyn.com/knowledge-fight-predicting-911,https://traffic.libsyn.com/secure/knowledgefight/BillAndAlexEp.mp3
#250: Remote Poisoners And Crypto Bigotry,"Jan 9, 2019",https://knowledgefight.libsyn.com/knowledge-fight-remote-poisoners-and-crypto-bigotry,https://traffic.libsyn.com/secure/knowledgefight/JohnWaterman.mp3
"#251: January 8, 2019","Jan 11, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-8-2019,https://traffic.libsyn.com/secure/knowledgefight/1-08-19.mp3
"#252: April 7-8, 2009","Jan 15, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-7-8-2009,https://traffic.libsyn.com/secure/knowledgefight/4-08-09.mp3
"#253: January 15, 2019","Jan 17, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-15-2019,https://traffic.libsyn.com/secure/knowledgefight/1-15-19.mp3
"#254: April 9-10, 2009","Jan 21, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-9-10-2009,https://traffic.libsyn.com/secure/knowledgefight/4-09-2009.mp3
"#255: September 25, 2011","Jan 23, 2019",https://knowledgefight.libsyn.com/knowledge-fight-september-25-2011,https://traffic.libsyn.com/secure/knowledgefight/9-25-2011.mp3
"#256: January 17-23, 2019","Jan 25, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-17-23-2019,https://traffic.libsyn.com/secure/knowledgefight/Jan17-23-2019.mp3
"#257: January 25, 2019","Jan 28, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-25-2019,https://traffic.libsyn.com/secure/knowledgefight/RogerStone.mp3
"#258: April 12-13, 2009","Jan 30, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-12-13-2009,https://traffic.libsyn.com/secure/knowledgefight/April13-2009.mp3
"#259: January 27-29, 2019","Feb 1, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-27-29-2019,https://traffic.libsyn.com/secure/knowledgefight/Jan27-29-2019.mp3
#260: Aliens Need Editors,"Feb 2, 2019",https://knowledgefight.libsyn.com/knowledge-fight-aliens-need-editors,https://traffic.libsyn.com/secure/knowledgefight/SebastienMartin.mp3
"#261: February 5-6, 2019","Feb 8, 2019",https://knowledgefight.libsyn.com/knowledge-fight-february-5-6-2019,https://traffic.libsyn.com/secure/knowledgefight/Feb5-6-2019.mp3
"#262: April 14, 2009","Feb 11, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-14-2009,https://traffic.libsyn.com/secure/knowledgefight/April14-2009.mp3
#263: Jordan Takes The Wheel,"Feb 13, 2019",https://knowledgefight.libsyn.com/knowledge-fight-jordan-takes-the-wheel,https://traffic.libsyn.com/secure/knowledgefight/JordanEdit.mp3
"#264: February 11-13, 2019","Feb 15, 2019",https://knowledgefight.libsyn.com/knowledge-fight-february-11-13-2019,https://traffic.libsyn.com/secure/knowledgefight/Feb11-2019.mp3
"#265: September 1, 2011","Feb 18, 2019",https://knowledgefight.libsyn.com/knowledge-fight-september-1-2011,https://traffic.libsyn.com/secure/knowledgefight/Sept1-2011.mp3
"#266: December 14, 2012","Feb 20, 2019",https://knowledgefight.libsyn.com/knowledge-fight-december-14-2012,https://traffic.libsyn.com/secure/knowledgefight/Dec14-2012.mp3
"#267: December 16, 2012","Feb 22, 2019",https://knowledgefight.libsyn.com/knowledge-fight-december-16-2012,https://traffic.libsyn.com/secure/knowledgefight/Dec16-2012.mp3
"#268: December 17-18, 2012","Feb 25, 2019",https://knowledgefight.libsyn.com/knowledge-fight-december-17-18-2012,https://traffic.libsyn.com/secure/knowledgefight/December17-18-2012.mp3
"#269: December 19, 2012","Feb 27, 2019",https://knowledgefight.libsyn.com/knowledge-fight-december-19-2012,https://traffic.libsyn.com/secure/knowledgefight/Dec19-2012.mp3
#270: The Rogan Return,"Mar 1, 2019",https://knowledgefight.libsyn.com/knowledge-fight-the-rogan-return,https://traffic.libsyn.com/secure/knowledgefight/Rogan2-2019.mp3
#271: The Serpent Loves Word Games,"Mar 4, 2019",https://knowledgefight.libsyn.com/knowledge-fight-the-serpent-loves-word-games,https://traffic.libsyn.com/secure/knowledgefight/PierreEp.mp3
"#272: December 20, 2012","Mar 6, 2019",https://knowledgefight.libsyn.com/knowledge-fight-december-20-2012,https://traffic.libsyn.com/secure/knowledgefight/Dec20-2012.mp3
"#273: March 5-6, 2019","Mar 8, 2019",https://knowledgefight.libsyn.com/knowledge-fight-march-5-6-2019,https://traffic.libsyn.com/secure/knowledgefight/Mar5-6-2019.mp3
#274: Ask Alex Anything,"Mar 8, 2019",https://knowledgefight.libsyn.com/knowledge-fight-ask-alex-anything,https://traffic.libsyn.com/secure/knowledgefight/AskAlexAnything.mp3
"#275: December 23-31, 2012","Mar 13, 2019",https://knowledgefight.libsyn.com/knowledge-fight-december-23-31-2012,https://traffic.libsyn.com/secure/knowledgefight/Dec23-31-2012.mp3
"#276: January 1-2, 2013","Mar 15, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-1-2-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan1-2-2013.mp3
"#277: March 15, 2019","Mar 18, 2019",https://knowledgefight.libsyn.com/knowledge-fight-march-15-2019,https://traffic.libsyn.com/secure/knowledgefight/March15-2019.mp3
"#278: January 3, 2013","Mar 22, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-3-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan3-2013.mp3
#279: Formulaic Objections,"Apr 3, 2019",https://knowledgefight.libsyn.com/knowledge-fight-formulaic-objections,https://traffic.libsyn.com/secure/knowledgefight/DepositionEpisode.mp3
#280: Raptor Weddings and Sardinian Spiders,"Apr 5, 2019",https://knowledgefight.libsyn.com/knowledge-fight-raptor-weddings-and-sardinian-spiders,https://traffic.libsyn.com/secure/knowledgefight/MarkRichards10.mp3
"#281: April 4, 2019","Apr 8, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-4-2019,https://traffic.libsyn.com/secure/knowledgefight/April4-2019.mp3
"#282: April 5, 2019","Apr 10, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-5-2019,https://traffic.libsyn.com/secure/knowledgefight/April5-2019.mp3
"#283: January 4-6, 2013","Apr 12, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-4-6-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan4-6-2013.mp3
"#284: April 12, 2019","Apr 15, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-12-2019,https://traffic.libsyn.com/secure/knowledgefight/April12-19.mp3
#285: Lil' Taste of Poland,"Apr 17, 2019",https://knowledgefight.libsyn.com/knowledge-fight-lil-taste-of-poland,https://traffic.libsyn.com/secure/knowledgefight/PolandEp.mp3
#286: Wrestling With Disappointment,"Apr 19, 2019",https://knowledgefight.libsyn.com/knowledge-fight-wrestling-with-disappointment,https://traffic.libsyn.com/secure/knowledgefight/MartyValV.mp3
"#287: April 15-18, 2019","Apr 22, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-15-18-2019,https://traffic.libsyn.com/secure/knowledgefight/April15-18-2019.mp3
"#288: January 7-9, 2013","Apr 24, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-7-9-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan8-9-2013.mp3
"#289: January 10-13, 2013","Apr 26, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-10-13-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan10-13-2013.mp3
"#290: April 25-26, 2019","Apr 29, 2019",https://knowledgefight.libsyn.com/knowledge-fight-april-25-26-2019,https://traffic.libsyn.com/secure/knowledgefight/April25-26-2019.mp3
#291: Feline Contessas And Canine Capitalists,"May 1, 2019",https://knowledgefight.libsyn.com/knowledge-fight-feline-contessas-and-canine-capitalists,https://traffic.libsyn.com/secure/knowledgefight/KevinM.mp3
"#292: January 14, 2013","May 3, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-14-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan14-2013.mp3
"#293: May 2-3, 2019","May 6, 2019",https://knowledgefight.libsyn.com/knowledge-fight-may-2-3-2019,https://traffic.libsyn.com/secure/knowledgefight/May2-3-19.mp3
"#294: January 15-16, 2013","May 10, 2019",https://knowledgefight.libsyn.com/knowledge-fight-january-15-16-2013,https://traffic.libsyn.com/secure/knowledgefight/Jan15-16-2013.mp3
